測站編號,測站名稱,城市,經度,緯度,觀測時間,AQI,空氣品質等級,主要污染物,PM2.5,PM10,O3,O3_8hr,NO2,SO2,CO,CO_8hr,NOx,NO,風速,風向,PM2.5_平均,PM10_平均,SO2_平均
85,大城,彰化縣,120.26964167,23.85493056,2026-02-24 17:00:00,94.0,普通,懸浮微粒,27.0,59.0,40.0,39.0,6.0,0.9,0.15,0.2,6.4,0.2,3.4,44.0,27.5,70.0,1.0
40,朴子,嘉義縣,120.2478,23.46538,2026-02-24 17:00:00,93.0,普通,懸浮微粒,24.0,90.0,39.0,43.0,12.0,2.4,0.22,0.2,14.3,1.8,1.8,341.0,25.9,69.0,1.0
49,仁武,高雄市,120.332631,22.689056,2026-02-24 17:00:00,93.0,普通,細懸浮微粒,21.0,54.0,52.0,47.0,8.0,0.7,0.26,0.3,10.7,2.4,1.9,327.0,28.0,66.0,1.0
77,金門,金門縣,118.312256,24.432133,2026-02-24 17:00:00,92.0,普通,細懸浮微粒,,28.0,12.0,,20.0,0.8,0.37,0.3,25.7,4.8,,,27.6,40.0,1.0
59,屏東,屏東縣,120.488033,22.673081,2026-02-24 17:00:00,92.0,普通,細懸浮微粒,24.0,49.0,48.0,48.0,10.0,2.1,0.28,0.2,11.3,0.8,2.7,287.0,27.5,64.0,1.0
26,苗栗,苗栗縣,120.82011468,24.56499183,2026-02-24 17:00:00,91.0,普通,懸浮微粒,22.0,61.0,29.0,29.0,12.0,0.9,0.28,0.2,13.9,1.6,1.3,15.0,25.0,67.0,1.0
41,臺西,雲林縣,120.19933333,23.702175,2026-02-24 17:00:00,91.0,普通,懸浮微粒,22.0,64.0,34.0,33.0,9.0,1.5,0.2,0.2,10.2,0.9,3.8,26.0,25.2,67.0,1.0
37,斗六,雲林縣,120.544994,23.711853,2026-02-24 17:00:00,91.0,普通,細懸浮微粒,27.0,73.0,30.0,46.0,14.0,3.3,0.36,0.2,17.1,2.2,1.4,40.0,27.2,66.0,0.0
29,沙鹿,臺中市,120.568794,24.225628,2026-02-24 17:00:00,89.0,普通,懸浮微粒,24.0,63.0,30.0,33.0,10.0,0.5,0.21,0.2,11.1,0.7,1.8,21.0,22.6,65.0,0.0
56,前金,高雄市,120.28676111,22.63390278,2026-02-24 17:00:00,88.0,普通,懸浮微粒,25.0,71.0,57.0,39.0,11.0,0.9,0.28,0.3,12.9,1.6,3.8,346.0,23.1,64.0,1.0
24,新竹,新竹市,120.97236752,24.8056356,2026-02-24 17:00:00,87.0,普通,懸浮微粒,15.0,47.0,30.0,31.0,13.0,0.4,0.32,0.2,13.7,0.5,1.1,305.0,18.9,63.0,0.0
6,板橋,新北市,121.458667,25.012972,2026-02-24 17:00:00,87.0,普通,細懸浮微粒,23.0,49.0,22.0,23.0,23.0,1.6,0.45,0.5,26.3,2.5,1.6,327.0,25.8,53.0,1.0
58,小港,高雄市,120.337736,22.565833,2026-02-24 17:00:00,87.0,普通,懸浮微粒,23.0,60.0,38.0,30.0,15.0,1.1,0.23,0.3,18.1,2.3,3.2,277.0,24.3,63.0,1.0
33,彰化,彰化縣,120.541519,24.066,2026-02-24 17:00:00,86.0,普通,懸浮微粒,27.0,56.0,29.0,32.0,13.0,0.4,0.34,0.3,14.7,1.6,2.0,25.0,22.7,62.0,0.0
69,竹山,南投縣,120.677306,23.756389,2026-02-24 17:00:00,84.0,普通,細懸浮微粒,18.0,56.0,33.0,44.0,14.0,2.6,0.24,0.2,15.2,1.1,1.9,44.0,24.4,60.0,1.0
57,前鎮,高雄市,120.30833356,22.6044507,2026-02-24 17:00:00,84.0,普通,懸浮微粒,21.0,56.0,46.0,36.0,11.0,0.4,0.3,0.3,12.9,1.5,1.8,351.0,23.8,61.0,1.0
71,復興,高雄市,120.312017,22.608711,2026-02-24 17:00:00,84.0,普通,懸浮微粒,27.0,63.0,46.0,36.0,9.0,0.5,0.33,0.3,11.3,2.0,1.2,273.0,23.7,61.0,1.0
139,員林,彰化縣,120.5631893,23.9615945,2026-02-24 17:00:00,84.0,普通,細懸浮微粒,27.0,63.0,35.0,39.0,8.0,1.1,0.23,0.2,9.4,1.2,1.6,21.0,24.7,57.0,1.0
67,三重,新北市,121.493806,25.072611,2026-02-24 17:00:00,83.0,普通,細懸浮微粒,21.0,57.0,7.0,9.0,39.0,0.9,0.75,0.8,82.5,43.4,,,24.2,59.0,1.0
50,鳳山,高雄市,120.357422,22.628126,2026-02-24 17:00:00,82.0,普通,細懸浮微粒,25.0,56.0,42.0,37.0,14.0,1.2,0.6,0.4,16.8,2.4,1.0,292.0,23.9,56.0,1.0
311,新北（樹林）,新北市,121.38352778,24.94902778,2026-02-24 17:00:00,82.0,普通,細懸浮微粒,22.0,44.0,20.0,24.0,26.0,0.8,0.35,0.4,30.3,3.4,0.0,293.0,24.0,46.0,0.0
7,新莊,新北市,121.4325,25.037972,2026-02-24 17:00:00,81.0,普通,懸浮微粒,20.0,44.0,24.0,18.0,18.0,1.0,0.3,0.3,20.1,1.7,0.9,257.0,21.3,58.0,0.0
78,馬公,澎湖縣,119.566158,23.569031,2026-02-24 17:00:00,81.0,普通,懸浮微粒,25.0,53.0,43.0,46.0,2.0,0.9,0.2,0.1,3.4,0.5,3.1,42.0,23.1,58.0,0.0
30,大里,臺中市,120.67844444,24.09961111,2026-02-24 17:00:00,80.0,普通,懸浮微粒,23.0,65.0,28.0,36.0,12.0,0.8,0.33,0.3,12.5,0.5,1.5,29.0,21.2,57.0,0.0
36,南投,南投縣,120.685306,23.913,2026-02-24 17:00:00,80.0,普通,懸浮微粒,22.0,60.0,30.0,38.0,15.0,0.4,0.28,0.2,17.2,2.0,1.2,344.0,22.9,57.0,0.0
8,菜寮,新北市,121.481028,25.06895,2026-02-24 17:00:00,80.0,普通,懸浮微粒,15.0,45.0,26.0,23.0,17.0,0.3,0.3,0.3,19.7,2.1,1.5,288.0,21.3,57.0,0.0
88,臺灣大道,臺中市,120.6567111,24.1589,2026-02-24 17:00:00,80.0,普通,細懸浮微粒,21.0,47.0,28.0,32.0,18.0,0.3,0.46,0.5,31.7,13.0,1.1,4.0,23.0,51.0,0.0
32,西屯,臺中市,120.616917,24.162197,2026-02-24 17:00:00,78.0,普通,懸浮微粒,19.0,47.0,33.0,33.0,10.0,1.0,0.19,0.2,11.3,0.8,2.6,26.0,19.0,55.0,0.0
60,潮州,屏東縣,120.561175,22.523108,2026-02-24 17:00:00,77.0,普通,懸浮微粒,8.0,30.0,34.0,44.0,2.0,0.6,0.13,0.2,4.0,1.0,3.8,295.0,21.2,54.0,0.0
51,大寮,高雄市,120.425311,22.56413611,2026-02-24 17:00:00,76.0,普通,懸浮微粒,11.0,32.0,31.0,36.0,4.0,0.7,0.14,0.2,5.8,1.1,1.6,284.0,20.2,53.0,0.0
52,林園,高雄市,120.41175,22.4795,2026-02-24 17:00:00,76.0,普通,懸浮微粒,9.0,40.0,30.0,36.0,2.0,0.0,0.12,0.1,3.0,0.4,2.1,200.0,18.9,53.0,0.0
5,土城,新北市,121.451861,24.982528,2026-02-24 17:00:00,74.0,普通,細懸浮微粒,14.0,48.0,17.0,25.0,27.0,1.0,0.35,0.5,32.5,5.0,0.3,96.0,21.0,51.0,0.0
12,中山,臺北市,121.526528,25.062361,2026-02-24 17:00:00,74.0,普通,細懸浮微粒,16.0,41.0,19.0,18.0,24.0,0.9,0.49,0.5,31.0,6.7,1.0,308.0,20.8,45.0,0.0
21,龍潭,桃園市,121.21645772,24.86400048,2026-02-24 17:00:00,74.0,普通,細懸浮微粒,25.0,44.0,23.0,22.0,12.0,1.0,0.25,0.3,13.0,0.8,1.4,356.0,21.0,50.0,1.0
9,林口,新北市,121.36548982,25.07798949,2026-02-24 17:00:00,74.0,普通,細懸浮微粒,21.0,42.0,24.0,24.0,9.0,1.5,0.2,0.2,10.9,1.4,0.6,0.0,21.0,46.0,1.0
203,南投（鹿谷）,南投縣,120.7944772,23.71867609,2026-02-24 17:00:00,74.0,普通,細懸浮微粒,18.0,57.0,41.0,49.0,10.0,1.8,0.28,0.2,11.5,0.9,0.7,270.0,20.9,50.0,0.0
31,忠明,臺中市,120.641092,24.151958,2026-02-24 17:00:00,73.0,普通,細懸浮微粒,18.0,51.0,27.0,32.0,14.0,1.3,0.27,0.3,16.2,2.1,1.6,36.0,20.6,50.0,1.0
70,永和,新北市,121.516306,25.017,2026-02-24 17:00:00,72.0,普通,細懸浮微粒,16.0,46.0,8.0,12.0,36.0,1.3,1.12,1.0,59.0,22.3,0.7,352.0,20.3,47.0,1.0
11,士林,臺北市,121.51666356,25.10334003,2026-02-24 17:00:00,72.0,普通,懸浮微粒,14.0,49.0,29.0,26.0,11.0,0.5,0.23,0.2,12.6,0.9,1.8,321.0,17.7,50.0,0.0
28,豐原,臺中市,120.74252414,24.25699731,2026-02-24 17:00:00,72.0,普通,懸浮微粒,17.0,50.0,34.0,33.0,9.0,1.3,0.22,0.2,10.3,1.3,1.2,349.0,19.3,50.0,1.0
72,埔里,南投縣,120.967903,23.968842,2026-02-24 17:00:00,72.0,普通,細懸浮微粒,19.0,42.0,35.0,42.0,5.0,1.5,0.25,0.2,5.8,0.5,2.1,293.0,20.0,43.0,1.0
