測站名稱,城市,測站緯度,測站經度,台北車站緯度,台北車站經度,距離_公里,AQI,空氣品質等級,觀測時間
大寮,高雄市,22.56413611,120.425311,25.0478,121.517,297.66,76.0,普通,2026-02-24 17:00:00
林園,高雄市,22.4795,120.41175,25.0478,121.517,306.93,76.0,普通,2026-02-24 17:00:00
土城,新北市,24.982528,121.451861,25.0478,121.517,9.79,74.0,普通,2026-02-24 17:00:00
中山,臺北市,25.062361,121.526528,25.0478,121.517,1.88,74.0,普通,2026-02-24 17:00:00
龍潭,桃園市,24.86400048,121.21645772,25.0478,121.517,36.55,74.0,普通,2026-02-24 17:00:00
林口,新北市,25.07798949,121.36548982,25.0478,121.517,15.63,74.0,普通,2026-02-24 17:00:00
南投（鹿谷）,南投縣,23.71867609,120.7944772,25.0478,121.517,164.91,74.0,普通,2026-02-24 17:00:00
忠明,臺中市,24.151958,120.641092,25.0478,121.517,133.28,73.0,普通,2026-02-24 17:00:00
永和,新北市,25.017,121.516306,25.0478,121.517,3.43,72.0,普通,2026-02-24 17:00:00
士林,臺北市,25.10334003,121.51666356,25.0478,121.517,6.18,72.0,普通,2026-02-24 17:00:00
豐原,臺中市,24.25699731,120.74252414,25.0478,121.517,117.72,72.0,普通,2026-02-24 17:00:00
埔里,南投縣,23.968842,120.967903,25.0478,121.517,132.21,72.0,普通,2026-02-24 17:00:00
松山,臺北市,25.05,121.578611,25.0478,121.517,6.21,72.0,普通,2026-02-24 17:00:00
竹東,新竹縣,24.74091408,121.08895493,25.0478,121.517,55.03,70.0,普通,2026-02-24 17:00:00
大同,臺北市,25.06331455,121.51342074,25.0478,121.517,1.76,69.0,普通,2026-02-24 17:00:00
萬華,臺北市,25.046503,121.507972,25.0478,121.517,0.92,69.0,普通,2026-02-24 17:00:00
古亭,臺北市,25.020608,121.529556,25.0478,121.517,3.28,69.0,普通,2026-02-24 17:00:00
汐止,新北市,25.06624,121.64081,25.0478,121.517,12.64,68.0,普通,2026-02-24 17:00:00
新店,新北市,24.977222,121.537778,25.0478,121.517,8.12,68.0,普通,2026-02-24 17:00:00
屏東（琉球）,屏東縣,22.35222,120.37722,25.0478,121.517,321.41,67.0,普通,2026-02-24 17:00:00
三義,苗栗縣,24.38248443,120.75956754,25.0478,121.517,106.43,58.0,普通,2026-02-24 17:00:00
屏東（枋山）,屏東縣,22.260899,120.651472,25.0478,121.517,322.18,51.0,普通,2026-02-24 17:00:00
陽明,臺北市,25.182722,121.529583,25.0478,121.517,15.06,51.0,普通,2026-02-24 17:00:00
冬山,宜蘭縣,24.632203,121.792928,25.0478,121.517,53.95,45.0,良好,2026-02-24 17:00:00
花蓮,花蓮縣,23.971306,121.599769,25.0478,121.517,119.99,42.0,良好,2026-02-24 17:00:00
宜蘭,宜蘭縣,24.747917,121.746394,25.0478,121.517,40.59,37.0,良好,2026-02-24 17:00:00
臺東,臺東縣,22.755358,121.15045,25.0478,121.517,257.62,32.0,良好,2026-02-24 17:00:00
恆春,屏東縣,21.958069,120.788928,25.0478,121.517,351.49,31.0,良好,2026-02-24 17:00:00
關山,臺東縣,23.045083,121.161933,25.0478,121.517,225.59,29.0,良好,2026-02-24 17:00:00
