序號,避難收容處所名稱,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,預計收容人數,室內,室外,最近AQI站點,最近AQI站點經度,最近AQI站點緯度,距離(km),最近AQI值,風險等級
5377,南崁高中,桃園市蘆竹區,五福里,仁愛路二段1號,121.297216,25.052285,400,是,是,桃園站,121.3,24.99,6.93,45,Low Risk
5378,埔心社區活動中心,桃園市大園區,埔心里,埔心街82-4號2樓,121.225524,25.052378,280,是,是,桃園站,121.3,24.99,10.22,45,Low Risk
5389,南崁國中,桃園市蘆竹區,五福里,五福六路1號,121.298375,25.054812,370,是,是,桃園站,121.3,24.99,7.21,45,Low Risk
5414,潮音國小,桃園市大園區,南港里,16鄰17號,121.168175,25.057905,180,否,否,桃園站,121.3,24.99,15.28,45,Low Risk
5419,大園國小學生活動中心,桃園市大園區,橫峰里,11鄰中正東路160號,121.202671,25.059085,1200,是,是,桃園站,121.3,24.99,12.46,45,Low Risk
5439,公西社區活動中心,桃園市龜山區,公西里,復興街250巷1-1號,121.36028,25.062299,100,是,否,桃園站,121.3,24.99,10.08,45,Low Risk
5444,大園社區活動中心,桃園市大園區,大園里,和平東路89號1樓,121.200297,25.062655,140,是,否,桃園站,121.3,24.99,12.89,45,Low Risk
5461,長興社區活動中心,桃園市蘆竹區,長興里,長興路四段325之1號,121.267905,25.06484198,250,是,否,桃園站,121.3,24.99,8.93,45,Low Risk
5462,內厝河濱公園,桃園市蘆竹區,內厝里,內溪路底,121.278033,25.06511398,0,否,是,桃園站,121.3,24.99,8.64,45,Low Risk
5472,大園區老人文康活動中心,桃園市大園區,田心里,大觀路118號,121.193358,25.066173,700,是,是,桃園站,121.3,24.99,13.68,45,Low Risk
5504,大園國中學生活動中心,桃園市大園區,圳頭里,4鄰中華路298號,121.205022,25.070687,1300,是,是,桃園站,121.3,24.99,13.12,45,Low Risk
5513,山鼻內厝聯合里民活動中心,桃園市蘆竹區,內厝里,南山路二段349巷67號,121.287518,25.071722,0,是,否,桃園站,121.3,24.99,9.17,45,Low Risk
5517,大園區北港社區活動中心,桃園市大園區,北港里,9鄰海墘10-2號,121.164351,25.072941,400,是,是,桃園站,121.3,24.99,16.49,45,Low Risk
5518,三石社區活動中心,桃園市大園區,三石里,9鄰三和路5號,121.25823,25.073,380,是,是,桃園站,121.3,24.99,10.14,45,Low Risk
5528,后厝社區活動中心,桃園市大園區,後厝里,12鄰中華路595號,121.211571,25.075842,100,是,否,桃園站,121.3,24.99,13.06,45,Low Risk
5562,內海貴文宮,桃園市大園區,內海里,2鄰內海墘19號,121.185356,25.080507,300,是,是,桃園站,121.3,24.99,15.32,45,Low Risk
5601,山腳國中,桃園市蘆竹區,山腳里,海山路319號,121.278634,25.088009,500,是,是,桃園站,121.3,24.99,11.11,45,Low Risk
5621,大古山停車場,桃園市蘆竹區,山腳里,大古山廣場,121.28829,25.09457695,200,否,是,桃園站,121.3,24.99,11.69,45,Low Risk
5640,沙崙社區活動中心,桃園市大園區,沙崙里,12鄰41-3號,121.222571,25.101094,250,是,是,桃園站,121.3,24.99,14.61,45,Low Risk
5645,海湖國小,桃園市蘆竹區,海湖里,海湖東路191巷15號,121.26754,25.10233,450,是,是,桃園站,121.3,24.99,12.91,45,Low Risk
