序號,避難收容處所名稱,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,預計收容人數,室內,室外,最近AQI站點,最近AQI站點經度,最近AQI站點緯度,距離(km),最近AQI值,風險等級
1,五峰活動中心,新竹縣,,,121.073,24.386,110,是,否,新竹站,120.96,24.81,48.51,35,Low Risk
31,尖山國小操場,苗栗縣頭份市,尖下里,尖豐路305號,120.894048,24.64686,200,否,是,新竹站,120.96,24.81,19.32,35,Low Risk
3776,上新社區籃槌球場,苗栗縣卓蘭鎮,上新里,"水廠段912,913,916,917,919,920地號",120.8345,24.2991,100,否,是,台中站,120.67,24.14,24.32,75,Warning
3777,內灣國小操場,苗栗縣卓蘭鎮,內灣里,內灣里120號,120.8495,24.2991,200,否,是,台中站,120.67,24.14,25.38,75,Warning
3778,上新老人文康中心,苗栗縣卓蘭鎮,上新里,3鄰41-2號,120.83172,24.302705,100,是,否,台中站,120.67,24.14,24.42,75,Low Risk
3796,卓蘭國小活動中心,苗栗縣卓蘭鎮,新厝里,中山路125號,120.8248,24.3122,200,是,否,台中站,120.67,24.14,24.76,75,Low Risk
3797,卓蘭國小操場,苗栗縣卓蘭鎮,新榮里,中山路125號,120.8248,24.3122,500,否,是,台中站,120.67,24.14,24.76,75,Warning
3813,坪林社區活動中心,苗栗縣卓蘭鎮,坪林里,2鄰8之1號,120.8761,24.3358,100,是,否,台中站,120.67,24.14,30.18,75,Low Risk
3814,景山國小操場,苗栗縣卓蘭鎮,景山里,5鄰88號,120.8763,24.3358,100,否,是,台中站,120.67,24.14,30.19,75,Warning
3819,雙連國小操場,苗栗縣卓蘭鎮,坪林里,雙連16-1號,120.8419,24.3449,100,否,是,台中站,120.67,24.14,28.69,75,Warning
3823,梅園村活動中心,苗栗縣泰安鄉,梅園村,6鄰36號,120.9304,24.3479,100,是,否,台中站,120.67,24.14,35.09,75,Low Risk
3824,新開國小操場,苗栗縣大湖鄉,新開村,新開25號,120.826351,24.348257,100,否,是,台中站,120.67,24.14,28.06,75,Warning
3825,新開國小,苗栗縣大湖鄉,新開村,4鄰新開25號,120.826351,24.348257,100,是,否,台中站,120.67,24.14,28.06,75,Low Risk
3829,豐田國小操場,苗栗縣卓蘭鎮,豐田里,3鄰36號,120.8577,24.3517,200,否,是,台中站,120.67,24.14,30.27,75,Warning
3830,坪林國小操場,苗栗縣卓蘭鎮,坪林里,7鄰86-2號,120.8653,24.3526,200,否,是,台中站,120.67,24.14,30.84,75,Warning
3833,景山社區活動中心,苗栗縣卓蘭鎮,景山里,5鄰78號,120.8671,24.3587,50,是,否,台中站,120.67,24.14,31.48,75,Low Risk
3834,士林國小,苗栗縣泰安鄉,士林村,5鄰26號,120.947,24.3605,150,是,否,台中站,120.67,24.14,37.28,75,Low Risk
3835,象鼻村活動中心,苗栗縣泰安鄉,象鼻村,1鄰7號,120.94702,24.360527,160,是,否,台中站,120.67,24.14,37.28,75,Low Risk
3836,象鼻村活動中心戶外廣場,苗栗縣泰安鄉,象鼻村,1鄰7號,120.938938,24.362245,100,否,是,台中站,120.67,24.14,36.8,75,Warning
3838,栗林國小操場,苗栗縣大湖鄉,栗林村,5鄰四份61號,120.842715,24.373502,100,否,是,台中站,120.67,24.14,31.32,75,Warning
3839,栗林社區活動中心,苗栗縣大湖鄉,栗林村,5鄰四份61號之2,120.842741,24.373511,100,是,否,台中站,120.67,24.14,31.32,75,Low Risk
3840,武榮社區活動中心,苗栗縣大湖鄉,武榮村,水流東7號,120.8646,24.3755,100,是,否,台中站,120.67,24.14,32.79,75,Low Risk
3843,東興國小操場,苗栗縣大湖鄉,東興村,下湖37號,120.882811,24.380718,100,否,是,台中站,120.67,24.14,34.38,75,Warning
3844,東興國小,苗栗縣大湖鄉,東興村,下湖37號,120.882822,24.380728,100,是,否,台中站,120.67,24.14,34.38,75,Low Risk
3846,武榮國小操場,苗栗縣大湖鄉,武榮村,義和村淋漓坪77號,120.867425,24.382508,100,否,是,台中站,120.67,24.14,33.58,75,Warning
3848,細道邦長老教會,苗栗縣泰安鄉,中興村,1鄰長橋13號,120.9203,24.3938,30,是,否,台中站,120.67,24.14,37.95,75,Low Risk
3849,梅園村活動中心戶外廣場,苗栗縣泰安鄉,梅園村,6鄰36號,120.96991,24.395274,100,否,是,台中站,120.67,24.14,41.59,75,Warning
3850,南湖國中操場,苗栗縣大湖鄉,義和村,蔗部坪1號,120.867265,24.397403,200,否,是,台中站,120.67,24.14,34.92,75,Warning
3851,南湖國中,苗栗縣大湖鄉,義和村,3鄰蔗篰坪12號,120.867265,24.397403,200,是,否,台中站,120.67,24.14,34.92,75,Low Risk
3860,大湖農工操場,苗栗縣大湖鄉,大寮村,17鄰竹高屋68號,120.861173,24.42,150,否,是,台中站,120.67,24.14,36.67,75,Warning
3861,大湖農工,苗栗縣大湖鄉,大寮村,17鄰竹高屋68號,120.861173,24.42,150,是,否,台中站,120.67,24.14,36.67,75,Low Risk
3863,大興村活動中心,苗栗縣泰安鄉,大興村,1鄰22號,120.9109,24.4211,100,是,否,台中站,120.67,24.14,39.66,75,Low Risk
3864,大湖國小操場,苗栗縣大湖鄉,明湖村,中正路育英巷11號,120.869809,24.421425,100,否,是,台中站,120.67,24.14,37.27,75,Warning
3865,大湖國小,苗栗縣大湖鄉,大湖村,中正路育英巷11號,120.869809,24.421425,100,是,否,台中站,120.67,24.14,37.27,75,Low Risk
3866,大南村辦公處,苗栗縣大湖鄉,大南村,小南勢71-1號,120.8984,24.422399,100,是,否,台中站,120.67,24.14,39.01,75,Low Risk
3867,大湖鄉老人文康中心,苗栗縣大湖鄉,大湖村,忠孝路69號,120.866884,24.424989,100,是,否,台中站,120.67,24.14,37.45,75,Low Risk
3868,福興里民活動中心,苗栗縣通霄鎮,福興里,6鄰57-1號,120.7277,24.4259,30,是,否,台中站,120.67,24.14,32.32,75,Low Risk
3871,大湖國中操場,苗栗縣大湖鄉,靜湖村,民族路80號,120.870777,24.426432,100,否,是,台中站,120.67,24.14,37.8,75,Warning
3872,大湖國中,苗栗縣大湖鄉,靜湖村,民族路80號,120.870777,24.426432,100,是,否,台中站,120.67,24.14,37.8,75,Low Risk
3875,新隆國小操場,苗栗縣銅鑼鄉,新隆村,2鄰18號,120.809,24.4297,20,否,是,台中站,120.67,24.14,35.16,75,Warning
3876,新隆國小,苗栗縣銅鑼鄉,新隆村,2鄰18號,120.809,24.4297,50,是,否,台中站,120.67,24.14,35.16,75,Low Risk
3891,清安村活動中心,苗栗縣泰安鄉,清安村,2鄰80號,120.9074,24.4478,110,是,否,新竹站,120.96,24.81,40.62,35,Low Risk
3893,富民社區活動中心戶外廣場,苗栗縣泰安鄉,清安村,2鄰80號,120.899611,24.44902,100,否,是,新竹站,120.96,24.81,40.6,35,Low Risk
3901,興隆國小操場,苗栗縣銅鑼鄉,興隆村,117號,120.812,24.4629,20,否,是,台中站,120.67,24.14,38.68,75,Warning
3902,興隆國小,苗栗縣銅鑼鄉,興隆村,117號,120.812,24.4629,50,是,否,台中站,120.67,24.14,38.68,75,Low Risk
3904,通霄鎮綜合活動中心,苗栗縣通霄鎮,通東里,信義路248號,120.7449,24.4638,200,是,否,台中站,120.67,24.14,36.8,75,Low Risk
3905,文峰國小操場,苗栗縣銅鑼鄉,樟樹村,樟樹12之1號,120.7858,24.4645,20,否,是,台中站,120.67,24.14,37.94,75,Warning
3906,文峰國小,苗栗縣銅鑼鄉,樟樹村,樟樹12之1號,120.7858,24.4645,50,是,否,台中站,120.67,24.14,37.94,75,Low Risk
3908,錦水村活動中心,苗栗縣泰安鄉,錦水村,5鄰29號,120.9428,24.4652,80,是,否,新竹站,120.96,24.81,38.38,35,Low Risk
3910,錦水村活動中心戶外廣場,苗栗縣泰安鄉,錦水村,5鄰29號,120.9346559,24.46710665,120,否,是,新竹站,120.96,24.81,38.21,35,Low Risk
3913,南衡宮,苗栗縣獅潭鄉,竹木村,5鄰北庄28號,120.8865,24.4716,50,是,否,新竹站,120.96,24.81,38.35,35,Low Risk
3914,九湖國小操場,苗栗縣銅鑼鄉,九湖村,10鄰91之1號,120.7764,24.473,20,否,是,台中站,120.67,24.14,38.57,75,Warning
3915,九湖國小,苗栗縣銅鑼鄉,九湖村,10鄰91之1號,120.7764,24.473,50,是,否,台中站,120.67,24.14,38.57,75,Low Risk
3917,豐林國小,苗栗縣獅潭鄉,新豐村,4鄰八角林56號,120.8913,24.4766,400,否,是,新竹站,120.96,24.81,37.72,35,Low Risk
3919,新豐村活動中心,苗栗縣獅潭鄉,新豐村,3鄰八角林39-1號,120.8939,24.4789,120,是,否,新竹站,120.96,24.81,37.42,35,Low Risk
3920,城南社區活動中心,苗栗縣通霄鎮,城南里,1鄰123-1號,120.6826,24.4838,30,是,否,台中站,120.67,24.14,38.25,75,Low Risk
3921,銅鑼灣會館,苗栗縣銅鑼鄉,銅鑼村,新興路78號,120.7855,24.4851,70,是,否,台中站,120.67,24.14,40.12,75,Low Risk
3922,通霄國小,苗栗縣通霄鎮,通東里,中正路12號,120.6786,24.4869,200,否,是,台中站,120.67,24.14,38.58,75,Warning
3923,豐林社區活動中心,苗栗縣獅潭鄉,豐林村,10鄰24號,120.9005,24.4884,250,是,否,新竹站,120.96,24.81,36.26,35,Low Risk
3925,八卦村活動中心,苗栗縣泰安鄉,八卦村,3鄰50號,120.9325,24.4896,40,是,否,新竹站,120.96,24.81,35.74,35,Low Risk
3926,中興國小操場,苗栗縣銅鑼鄉,中平村,150號,120.8028,24.4899,20,否,是,新竹站,120.96,24.81,38.98,35,Low Risk
3927,中興國小,苗栗縣銅鑼鄉,中平村,150號,120.8028,24.4899,50,是,否,新竹站,120.96,24.81,38.98,35,Low Risk
3929,通霄國中,苗栗縣通霄鎮,通西里,中山路190巷1號,120.6833,24.4908,200,否,是,台中站,120.67,24.14,39.03,75,Warning
3930,銅鑼國小操場,苗栗縣銅鑼鄉,福興村,文化街1號,120.7913,24.4908,20,否,是,新竹站,120.96,24.81,39.38,35,Low Risk
3931,銅鑼國小,苗栗縣銅鑼鄉,福興村,文化街1號,120.7913,24.4908,50,是,否,新竹站,120.96,24.81,39.38,35,Low Risk
3932,八卦村活動中心戶外操場,苗栗縣泰安鄉,八卦村,3鄰50號,120.9243031,24.49132664,200,否,是,新竹站,120.96,24.81,35.62,35,Low Risk
3933,苗栗縣青少年服務中心暨平安社區活動中心,苗栗縣通霄鎮,平安里,平元55-6號,120.691288,24.495102,150,是,否,台中站,120.67,24.14,39.54,75,Low Risk
3934,竹森社區活動中心,苗栗縣銅鑼鄉,竹森村,4鄰22-1號,120.7829,24.5041,50,是,否,新竹站,120.96,24.81,38.44,35,Low Risk
3935,廣德宮廣場,苗栗縣銅鑼鄉,竹森村,4鄰22號,120.7828,24.5045,30,否,是,新竹站,120.96,24.81,38.4,35,Low Risk
3936,公館鄉公所,苗栗縣公館鄉,玉泉村,14鄰368-10號,120.828396,24.505958,300,是,否,新竹站,120.96,24.81,36.33,35,Low Risk
3937,公館鄉老人文康中心,苗栗縣公館鄉,玉谷村,4鄰124號,120.824346,24.515114,300,是,否,新竹站,120.96,24.81,35.54,35,Low Risk
3941,南勢社區活動中心,苗栗縣苗栗市,南勢里,8鄰新勝8-1號,120.7924,24.5235,30,是,否,新竹站,120.96,24.81,36.08,35,Low Risk
3942,五湖社區活動中心,苗栗縣西湖鄉,五湖村,13鄰194-4號,120.7704,24.5246,50,是,否,新竹站,120.96,24.81,37.07,35,Low Risk
3943,和興社區活動中心,苗栗縣獅潭鄉,和興村,8鄰13號,120.9146,24.5263,150,是,否,新竹站,120.96,24.81,31.88,35,Low Risk
3944,四湖社區活動中心,苗栗縣西湖鄉,四湖村,4鄰11號,120.745,24.5312,50,是,否,新竹站,120.96,24.81,37.86,35,Low Risk
3946,義民廟,苗栗縣獅潭鄉,新店村,4鄰46號,120.920102,24.539236,300,是,否,新竹站,120.96,24.81,30.38,35,Low Risk
3947,獅潭國小,苗栗縣獅潭鄉,新店村,11鄰129號,120.921017,24.540041,300,否,是,新竹站,120.96,24.81,30.28,35,Low Risk
3948,水源社區活動中心,苗栗縣苗栗市,水源里,中正路1151號,120.8165,24.5405,15,是,否,新竹站,120.96,24.81,33.29,35,Low Risk
3949,新店村活動中心,苗栗縣獅潭鄉,新店村,4鄰46-1號,120.9215,24.5421,100,是,否,新竹站,120.96,24.81,30.04,35,Low Risk
3950,蓬萊國小室外,苗栗縣南庄鄉,蓬萊村,19鄰紅毛館118號,120.9708,24.5428,100,否,是,新竹站,120.96,24.81,29.73,35,Low Risk
3951,蓬萊國小室內,苗栗縣南庄鄉,蓬萊村,19鄰紅毛館118號,120.970819,24.542802,40,是,否,新竹站,120.96,24.81,29.73,35,Low Risk
3952,勝利社區活動中心,苗栗縣苗栗市,勝利里,復興路1段492號,120.8234,24.5445,40,是,否,新竹站,120.96,24.81,32.59,35,Low Risk
3953,獅潭國中,苗栗縣獅潭鄉,新店村,21號,120.9229,24.545,300,是,否,新竹站,120.96,24.81,29.7,35,Low Risk
3954,恭敬社區活動中心,苗栗縣苗栗市,恭敬里,7鄰恭敬路77-1號,120.8155,24.5461,35,是,否,新竹站,120.96,24.81,32.78,35,Low Risk
3955,國立聯合大學活動中心,苗栗縣苗栗市,恭敬里,聯大1號,120.816,24.5464,100,是,否,新竹站,120.96,24.81,32.72,35,Low Risk
3956,國立聯合大學操場,苗栗縣苗栗市,恭敬里,聯大一號,120.816,24.5464,200,否,是,新竹站,120.96,24.81,32.72,35,Low Risk
3957,高苗里活動中心,苗栗縣苗栗市,高苗里,22鄰松園1號,120.811818,24.549403,300,是,否,新竹站,120.96,24.81,32.62,35,Low Risk
3958,大同國小活動中心,苗栗縣苗栗市,大同里,大同路80號,120.815,24.5528,100,是,否,新竹站,120.96,24.81,32.13,35,Low Risk
3959,大同國小操場,苗栗縣苗栗市,大同里,大同路80號,120.815,24.5528,200,否,是,新竹站,120.96,24.81,32.13,35,Low Risk
3960,維新社區活動中心,苗栗縣苗栗市,維新里,僑育北街62號1樓,120.8256,24.5535,20,是,否,新竹站,120.96,24.81,31.59,35,Low Risk
3961,新英社區活動中心,苗栗縣苗栗市,新英里,15鄰新英108-2號,120.8077,24.5548,30,是,否,新竹站,120.96,24.81,32.28,35,Low Risk
3962,苗栗市老人文康中心室外草皮,苗栗縣苗栗市,大同里,福星山21號,120.8142,24.5556,100,否,是,新竹站,120.96,24.81,31.89,35,Low Risk
3963,苗栗市老人文康中心室內空間,苗栗縣苗栗市,大同里,福星山21號,120.8142,24.5556,150,是,否,新竹站,120.96,24.81,31.89,35,Low Risk
3964,苗栗農工活動中心,苗栗縣苗栗市,維祥里,經國路2段491號,120.8341,24.5564,100,是,否,新竹站,120.96,24.81,30.94,35,Low Risk
3965,苗栗農工操場,苗栗縣苗栗市,維祥里,經國路2段491號,120.8341,24.5564,300,否,是,新竹站,120.96,24.81,30.94,35,Low Risk
3966,西湖鄉農特產品展售綜合活動中心,苗栗縣西湖鄉,三湖村,1鄰店仔街4之1號,120.7562,24.5589,200,是,否,新竹站,120.96,24.81,34.69,35,Low Risk
3967,西湖鄉農特產品展售綜合活動中心戶外草坪,苗栗縣西湖鄉,三湖村,店仔街4之1號,120.7562,24.5589,300,否,是,新竹站,120.96,24.81,34.69,35,Low Risk
3968,西湖鄉立體育館,苗栗縣西湖鄉,金獅村,2鄰24-9號,120.7569,24.559,100,是,否,新竹站,120.96,24.81,34.64,35,Low Risk
3969,中苗社區活動中心,苗栗縣苗栗市,中苗里,13鄰長春街42巷45號,120.8204,24.5593,25,是,否,新竹站,120.96,24.81,31.24,35,Low Risk
3971,永興村活動中心,苗栗縣獅潭鄉,永興村,3鄰17-1號,120.931,24.5608,150,是,否,新竹站,120.96,24.81,27.86,35,Low Risk
3972,福麗社區活動中心,苗栗縣苗栗市,福麗里,8鄰32-1號,120.8163,24.5613,30,是,否,新竹站,120.96,24.81,31.23,35,Low Risk
3973,建功國小操場,苗栗縣苗栗市,建功里,中正路241號,120.8243,24.5642,300,否,是,新竹站,120.96,24.81,30.58,35,Low Risk
3974,文山國小活動中心,苗栗縣苗栗市,文山里,6鄰41號,120.8133,24.5671,80,是,否,新竹站,120.96,24.81,30.81,35,Low Risk
3975,文山國小操場,苗栗縣苗栗市,文山里,4鄰41號,120.8133,24.5671,150,否,是,新竹站,120.96,24.81,30.81,35,Low Risk
3976,玉苗社區活動中心,苗栗縣苗栗市,玉苗里,13鄰光復路210號,120.8244,24.5697,30,是,否,新竹站,120.96,24.81,30.03,35,Low Risk
3977,北苗聯合社區活動中心室內空間,苗栗縣苗栗市,北苗里,中華路45號2樓,120.8248,24.5711,100,是,否,新竹站,120.96,24.81,29.87,35,Low Risk
3978,北苗聯合社區活動中心室外停車場,苗栗縣苗栗市,北苗里,中華路45號,120.8248,24.5711,200,否,是,新竹站,120.96,24.81,29.87,35,Low Risk
3981,永興國小,苗栗縣獅潭鄉,永興村,6鄰55-1號,120.9365,24.5737,400,是,否,新竹站,120.96,24.81,26.38,35,Low Risk
3984,苗栗縣頭屋國小操場,苗栗縣頭屋鄉,頭屋村,中山街15號,120.8509,24.5764,100,否,是,新竹站,120.96,24.81,28.22,35,Low Risk
3985,苗栗縣頭屋國小活動中心,苗栗縣頭屋鄉,頭屋村,中山街15號?,120.8509,24.5764,150,是,否,新竹站,120.96,24.81,28.22,35,Low Risk
3986,苗栗縣頭屋國中操場,苗栗縣頭屋鄉,頭屋村,中正街86巷14號,120.8534,24.577,100,否,是,新竹站,120.96,24.81,28.06,35,Low Risk
3987,苗栗縣頭屋國中活動中心,苗栗縣頭屋鄉,頭屋村,中正街86巷14號?,120.8534,24.577,100,是,否,新竹站,120.96,24.81,28.06,35,Low Risk
3990,福星國小活動中心,苗栗縣苗栗市,福星里,中華東街62號,120.826,24.5791,80,是,否,新竹站,120.96,24.81,29.03,35,Low Risk
3991,福星國小操場,苗栗縣苗栗市,福星里,中華東街62號,120.826,24.5791,150,否,是,新竹站,120.96,24.81,29.03,35,Low Risk
3994,百壽村活動中心,苗栗縣獅潭鄉,百壽村,7鄰42-1號,120.9415,24.5799,60,是,否,新竹站,120.96,24.81,25.65,35,Low Risk
3995,頭屋鄉老人文康活動中心,苗栗縣頭屋鄉,象山村,7鄰象山路82-1號,120.8661,24.581,50,是,否,新竹站,120.96,24.81,27.17,35,Low Risk
3999,中和國小操場,苗栗縣後龍鎮,中和里,中和里14鄰152號,120.734732,24.588097,300,否,是,新竹站,120.96,24.81,33.57,35,Low Risk
4000,中和國小綜合教室,苗栗縣後龍鎮,中和里,中和里14鄰152號,120.7347,24.5881,90,是,否,新竹站,120.96,24.81,33.57,35,Low Risk
4007,南江村社區活動中心,苗栗縣南庄鄉,南江村,22鄰55-1號,121.0001,24.5943,50,是,否,新竹站,120.96,24.81,24.32,35,Low Risk
4015,東村社區第二活動中心,苗栗縣南庄鄉,東村,大同路1-1號,121.0009,24.5969,60,是,否,新竹站,120.96,24.81,24.05,35,Low Risk
4016,鄉公所廣場後,苗栗縣南庄鄉,東村,大同路1號,121.0003,24.597,50,否,是,新竹站,120.96,24.81,24.03,35,Low Risk
4017,鄉公所廣場前,苗栗縣南庄鄉,東村,大同路3號,121.0003,24.597,150,否,是,新竹站,120.96,24.81,24.03,35,Low Risk
4019,公有零售市場二樓,苗栗縣南庄鄉,東村,民生街13號,120.9991,24.5983,100,是,否,新竹站,120.96,24.81,23.87,35,Low Risk
4022,南庄國小,苗栗縣南庄鄉,東村,文化路3號,120.9993,24.6004,300,否,是,新竹站,120.96,24.81,23.64,35,Low Risk
4023,龍坑國小教室,苗栗縣後龍鎮,龍坑里,龍坑里十班坑158號,120.7782,24.6019,80,是,否,新竹站,120.96,24.81,29.54,35,Low Risk
4024,龍坑國小操場,苗栗縣後龍鎮,龍坑里,龍坑里十班坑158號,120.778154,24.601926,200,否,是,新竹站,120.96,24.81,29.54,35,Low Risk
4025,同光國小操場,苗栗縣後龍鎮,龍津里,龍津里10鄰同興94號,120.761765,24.610127,200,否,是,新竹站,120.96,24.81,29.92,35,Low Risk
4026,同光國小綜合教室,苗栗縣後龍鎮,龍津里,龍津里10鄰同興94號,120.7632,24.6105,100,是,否,新竹站,120.96,24.81,29.79,35,Low Risk
4028,維真國中活動中心,苗栗縣後龍鎮,大庄里,中山路252號,120.7946,24.6121,100,是,否,新竹站,120.96,24.81,27.63,35,Low Risk
4030,維真國中操場,苗栗縣後龍鎮,大庄里,中山路252號,120.794682,24.612202,500,否,是,新竹站,120.96,24.81,27.62,35,Low Risk
4031,新港國中小活動中心,苗栗縣後龍鎮,埔頂里,頂東路30號,120.8194,24.6128,100,是,否,新竹站,120.96,24.81,26.13,35,Low Risk
4032,新港國中小操場,苗栗縣後龍鎮,埔頂里,頂東路30號,120.819422,24.612828,500,否,是,新竹站,120.96,24.81,26.12,35,Low Risk
4033,苗栗縣後龍鎮公所,苗栗縣後龍鎮,大庄里,中山路152號,120.792076,24.613344,100,是,否,新竹站,120.96,24.81,27.67,35,Low Risk
4035,苗栗縣老人福利服務中心,苗栗縣後龍鎮,新民里,中心路121-5號,120.814498,24.61375,200,是,否,新竹站,120.96,24.81,26.31,35,Low Risk
4036,後龍國小教室,苗栗縣後龍鎮,大庄里,成功路254號,120.7961,24.6138,100,是,否,新竹站,120.96,24.81,27.39,35,Low Risk
4037,後龍國小操場,苗栗縣後龍鎮,大庄里,成功路254號,120.796137,24.613833,500,否,是,新竹站,120.96,24.81,27.38,35,Low Risk
4038,中龍里活動中心,苗栗縣後龍鎮,中龍里,13鄰中南街167號,120.787967,24.614455,50,是,否,新竹站,120.96,24.81,27.83,35,Low Risk
4039,北龍里活動中心,苗栗縣後龍鎮,北龍里,7鄰東門街151號,120.7908,24.6154,50,是,否,新竹站,120.96,24.81,27.57,35,Low Risk
4041,後龍國中操場,苗栗縣後龍鎮,南龍里,23鄰勝利街250號,120.784618,24.616631,500,否,是,新竹站,120.96,24.81,27.86,35,Low Risk
4042,北埔社區活動中心,苗栗縣三灣鄉,北埔村,3鄰下林坪40號,120.9478,24.6167,60,是,否,新竹站,120.96,24.81,21.53,35,Low Risk
4043,後龍國中活動中心,苗栗縣後龍鎮,南龍里,23鄰勝利街250號,120.785149,24.616762,80,是,否,新竹站,120.96,24.81,27.81,35,Low Risk
4045,田美社區活動中心,苗栗縣南庄鄉,田美村,田美153號,120.9948,24.6197,30,是,否,新竹站,120.96,24.81,21.45,35,Low Risk
4047,溪洲國小操場,苗栗縣後龍鎮,溪洲里,87-3號,120.776741,24.620956,500,否,是,新竹站,120.96,24.81,28.01,35,Low Risk
4051,造橋鄉綜合活動中心-室內,苗栗縣造橋鄉,大西村,慈聖路二段322巷1號,120.8875,24.6236,60,是,否,新竹站,120.96,24.81,21.98,35,Low Risk
4052,造橋鄉綜合活動中心-室外,苗栗縣造橋鄉,大西村,慈聖路二段322巷1號,120.8875,24.6236,150,否,是,新竹站,120.96,24.81,21.98,35,Low Risk
4057,大河社區活動中心,苗栗縣三灣鄉,大河村,7鄰60-1號,120.9064,24.6266,70,是,否,新竹站,120.96,24.81,21.1,35,Low Risk
4059,南富社區活動中心,苗栗縣南庄鄉,南富村,13鄰14號,120.9708,24.6297,50,是,否,新竹站,120.96,24.81,20.08,35,Low Risk
4061,員林社區活動中心,苗栗縣南庄鄉,員林村,15鄰52號,120.9634,24.6318,50,是,否,新竹站,120.96,24.81,19.82,35,Low Risk
4064,成功國小操場,苗栗縣後龍鎮,水尾里,水尾里12鄰104-1號,120.761747,24.63268,300,否,是,新竹站,120.96,24.81,28.1,35,Low Risk
4068,獅山社區第二活動中心,苗栗縣南庄鄉,獅山村,15鄰166-2號,121.0135,24.6343,50,是,否,新竹站,120.96,24.81,20.27,35,Low Risk
4070,濫坑社區活動中心,苗栗縣頭份市,濫坑里,4鄰藤坪44號,120.8836,24.6354,55,是,否,新竹站,120.96,24.81,20.89,35,Low Risk
4073,造橋鄉造橋國中-室外,苗栗縣造橋鄉,造橋村,1鄰老庄27號,120.8563,24.6392,300,否,是,新竹站,120.96,24.81,21.69,35,Low Risk
4074,造橋鄉造橋國中-室內,苗栗縣造橋鄉,造橋村,1鄰老庄27號,120.8563,24.6392,300,是,否,新竹站,120.96,24.81,21.69,35,Low Risk
4083,大山國小操場,苗栗縣後龍鎮,灣寶里,7鄰龍山路109號,120.809726,24.645529,300,否,是,新竹站,120.96,24.81,23.77,35,Low Risk
4084,大山國小教室,苗栗縣後龍鎮,灣寶里,7鄰龍山路109號,120.8095,24.6457,100,是,否,新竹站,120.96,24.81,23.77,35,Low Risk
4087,中山社區活動中心,苗栗縣頭份市,尖下里,11鄰尖豐路578巷56弄1號,120.8826,24.6485,60,是,否,新竹站,120.96,24.81,19.59,35,Low Risk
4088,外埔國小教室,苗栗縣後龍鎮,外埔里,6鄰外埔18-9號,120.779,24.6508,70,是,否,新竹站,120.96,24.81,25.45,35,Low Risk
4089,外埔國小操場,苗栗縣後龍鎮,外埔里,6鄰外埔18-9號,120.77902,24.650822,300,否,是,新竹站,120.96,24.81,25.44,35,Low Risk
4090,永和社區活動中心,苗栗縣三灣鄉,永和村,石馬店17號,120.9564,24.6527,50,是,否,新竹站,120.96,24.81,17.49,35,Low Risk
4094,文英國中操場,苗栗縣頭份市,尖下里,200號,120.880566,24.655468,150,否,是,新竹站,120.96,24.81,18.96,35,Low Risk
4098,內灣社區活動中心,苗栗縣三灣鄉,內灣村,9鄰16-1號,120.955,24.6557,50,是,否,新竹站,120.96,24.81,17.16,35,Low Risk
4100,三灣國小操場室外收容,苗栗縣三灣鄉,三灣村,中山路49號,120.955046,24.655737,200,否,是,新竹站,120.96,24.81,17.16,35,Low Risk
4101,三灣國小室內活動中心,苗栗縣三灣鄉,三灣村,中山路49號,120.955046,24.655737,200,是,否,新竹站,120.96,24.81,17.16,35,Low Risk
4102,廣興社區活動中心,苗栗縣頭份市,廣興里,5鄰廣興126-1號,120.8869,24.6583,40,是,否,新竹站,120.96,24.81,18.41,35,Low Risk
4109,海寶國小教室,苗栗縣後龍鎮,海寶里,5鄰52-2號,120.8217,24.6618,100,是,否,新竹站,120.96,24.81,21.6,35,Low Risk
4110,海寶國小操場,苗栗縣後龍鎮,海寶里,5鄰52-2號,120.821739,24.661823,300,否,是,新竹站,120.96,24.81,21.6,35,Low Risk
4118,大坪社區活動中心,苗栗縣三灣鄉,大坪村,大坪村9鄰下雙坑43之4號,120.9744,24.6663,50,是,否,新竹站,120.96,24.81,16.04,35,Low Risk
4123,港墘社區活動中心,苗栗縣竹南鎮,港墘里,5鄰光明街2號,120.861,24.6677,100,是,否,新竹站,120.96,24.81,18.72,35,Low Risk
4140,新興國小操場,苗栗縣頭份市,下興里,水源路157號,120.912927,24.675131,200,否,是,新竹站,120.96,24.81,15.73,35,Low Risk
4141,海口國小-操場,苗栗縣竹南鎮,海口里,7鄰保福路20號,120.8616,24.6755,500,否,是,新竹站,120.96,24.81,17.96,35,Low Risk
4146,三灣鄉活動中心,苗栗縣三灣鄉,三灣村,親民路15號,120.9551,24.6763,80,是,否,新竹站,120.96,24.81,14.87,35,Low Risk
4147,下興社區活動中心,苗栗縣頭份市,下興里,7鄰下東興78-7號,120.9107,24.6765,90,是,否,新竹站,120.96,24.81,15.66,35,Low Risk
4158,斗煥國小操場,苗栗縣頭份市,斗煥里,中正二路221號,120.94751,24.680477,200,否,是,新竹站,120.96,24.81,14.46,35,Low Risk
4159,田寮社區活動中心,苗栗縣頭份市,田寮里,7鄰南田街213號,120.8871,24.6807,80,是,否,新竹站,120.96,24.81,16.15,35,Low Risk
4160,永貞國小操場,苗栗縣頭份市,田寮里,永貞路1段335號,120.884654,24.680886,200,否,是,新竹站,120.96,24.81,16.25,35,Low Risk
